21.01.2021,27’256.1200
20.01.2021,31’633.9500
19.01.2021,32’029.0400
18.01.2021,32’633.7900
17.01.2021,31’832.5100
16.01.2021,32’229.5600
15.01.2021,32’803.3900
14.01.2021,34’826.4200
13.01.2021,33’124.8800
12.01.2021,29’951.5700
11.01.2021,31’623.6300
10.01.2021,33’926.3900
09.01.2021,35’551.3600
08.01.2021,36’058.9000
07.01.2021,34’864.2600
06.01.2021,32’392.0700
05.01.2021,29’838.7800
04.01.2021,28’176.8400
03.01.2021,29’014.8100
02.01.2021,28’535.0300
01.01.2021,26’129.0000
31.12.2020,25’706.4300
30.12.2020,25’396.4200
29.12.2020,24’185.0000
28.12.2020,24’081.5500
27.12.2020,23’337.3300
26.12.2020,23’527.8800
25.12.2020,21’947.6200
24.12.2020,21’136.7100
23.12.2020,20’640.4000
22.12.2020,21’137.7700
21.12.2020,20’230.2800
20.12.2020,20’779.1000
19.12.2020,21’083.2000
18.12.2020,20’441.1600
17.12.2020,20’180.1600
16.12.2020,18’880.5400
15.12.2020,17’225.3800
14.12.2020,17’091.5800
13.12.2020,17’018.3900
12.12.2020,16’746.9100
11.12.2020,16’064.4000
10.12.2020,16’184.8400
09.12.2020,16’511.2800
08.12.2020,16’291.6300
07.12.2020,17’098.8900
06.12.2020,17’244.1800
05.12.2020,17’095.8700
04.12.2020,16’686.9600
03.12.2020,17’332.0300
02.12.2020,17’199.7600
01.12.2020,16’935.7300
30.11.2020,17’849.1400
29.11.2020,16’449.0800
28.11.2020,16’047.2600
27.11.2020,15’491.0900
26.11.2020,15’536.5200
25.11.2020,17’024.4400
24.11.2020,17’444.4000
23.11.2020,16’789.7200
22.11.2020,16’764.8400
21.11.2020,17’017.0100
20.11.2020,16’985.1900
19.11.2020,16’245.6500
18.11.2020,16’235.6000
17.11.2020,16’096.7500
16.11.2020,15’267.3100
15.11.2020,14’584.7600
14.11.2020,14’699.1300
13.11.2020,14’905.6000
12.11.2020,14’901.3000
11.11.2020,14’406.0200
10.11.2020,13’997.0500
09.11.2020,14’012.4400
08.11.2020,13’932.0800
07.11.2020,13’335.8500
06.11.2020,14’024.8800
05.11.2020,14’100.3700
